1 56 1 1 1
1 4 1 1 1
1 14 1 1 1
1 53 1 1 1
2 63 1 1 1
2 67 1 1 1
3 38 1 1 1
3 23 1 1 1
4 17 1 1 1
4 53 1 1 1
4 63 1 1 1
4 41 1 1 1
4 67 1 1 1
4 45 1 1 1
4 60 1 1 1
4 66 1 1 1
4 28 1 1 1
5 22 1 1 1
6 23 1 1 1
6 25 1 1 1
6 18 1 1 1
6 58 1 1 1
6 51 1 1 1
6 57 1 1 1
6 62 1 1 1
6 58 1 1 1
7 16 1 1 1
7 33 1 1 1
7 33 1 1 1
7 45 1 1 1
7 45 1 1 1
8 23 1 1 1
8 42 1 1 1
8 18 1 1 1
9 36 1 1 1
9 30 1 1 1
10 59 1 1 1
10 2 1 1 1
10 57 1 1 1
10 50 1 1 1
10 39 1 1 1
10 23 1 1 1
10 11 1 1 1
10 12 1 1 1
11 68 1 1 1
11 42 1 1 1
12 63 1 1 1
12 5 1 1 1
12 67 1 1 1
13 69 1 1 1
13 47 1 1 1
14 12 1 1 1
14 2 1 1 1
14 10 1 1 1
15 56 1 1 1
15 2 1 1 1
15 45 1 1 1
15 62 1 1 1
15 59 1 1 1
15 33 1 1 1
15 26 1 1 1
15 2 1 1 1
15 25 1 1 1
15 49 1 1 1
15 11 1 1 1
15 43 1 1 1
16 2 1 1 1
16 56 1 1 1
16 62 1 1 1
16 41 1 1 1
16 66 1 1 1
17 41 1 1 1
17 3 1 1 1
17 12 1 1 1
17 43 1 1 1
17 29 1 1 1
17 63 1 1 1
17 27 1 1 1
18 44 1 1 1
18 6 1 1 1
18 61 1 1 1
18 16 1 1 1
18 48 1 1 1
18 63 1 1 1
19 44 1 1 1
19 44 1 1 1
19 62 1 1 1
20 35 1 1 1
20 53 1 1 1
20 50 1 1 1
20 57 1 1 1
21 61 1 1 1
21 24 1 1 1
22 4 1 1 1
22 31 1 1 1
22 35 1 1 1
22 38 1 1 1
23 11 1 1 1
23 58 1 1 1
23 19 1 1 1
23 69 1 1 1
24 41 1 1 1
24 8 1 1 1
24 45 1 1 1
24 12 1 1 1
24 66 1 1 1
24 5 1 1 1
25 26 1 1 1
25 21 1 1 1
25 15 1 1 1
25 48 1 1 1
25 17 1 1 1
25 65 1 1 1
25 28 1 1 1
26 58 1 1 1
26 3 1 1 1
26 24 1 1 1
27 53 1 1 1
27 5 1 1 1
27 60 1 1 1
27 40 1 1 1
28 63 1 1 1
28 52 1 1 1
29 13 1 1 1
29 2 1 1 1
30 66 1 1 1
30 18 1 1 1
31 28 1 1 1
31 50 1 1 1
31 64 1 1 1
31 50 1 1 1
32 12 1 1 1
33 55 1 1 1
33 63 1 1 1
33 65 1 1 1
